director_name,id,gender
James Cameron,4762,Male
Gore Verbinski,4763,Male
Sam Mendes,4764,Male
Christopher Nolan,4765,Male
Andrew Stanton,4766,Male
Sam Raimi,4767,Male
Byron Howard,4768,Male
Joss Whedon,4769,Male
David Yates,4770,Male
Zack Snyder,4771,Male
Bryan Singer,4772,Male
Marc Forster,4773,Male
Andrew Adamson,4774,Male
Rob Marshall,4775,Male
Barry Sonnenfeld,4776,Male
Peter Jackson,4777,Male
Marc Webb,4778,Male
Ridley Scott,4779,Male
Anthony Russo,4781,Male
Peter Berg,4782,Male
Colin Trevorrow,4783,Male
Shane Black,4784,Male
Tim Burton,4785,Male
Brett Ratner,4786,Male
Dan Scanlon,4787,Male
Michael Bay,4788,Male
Joseph Kosinski,4789,Male
John Lasseter,4790,Male
Martin Campbell,4791,Male
Lee Unkrich,4792,Male
McG,4793,Male
James Wan,4794,Male
J.J. Abrams,4795,Male
Baz Luhrmann,4796,Male
Mike Newell,4797,Male
Guillermo del Toro,4798,Male
Steven Spielberg,4799,Male
Peter Sohn,4800,Male
Brenda Chapman,4801,Female
Roland Emmerich,4803,Male
Robert Zemeckis,4804,Male
Lilly Wachowski,4805,Female
Pete Docter,4806,Male
Conrad Vernon,4807,Male
Jon Favreau,4808,Male
Martin Scorsese,4809,Male
Rob Cohen,4810,Male
Tom Shadyac,4812,Male
Doug Liman,4813,Male
Stephen Sommers,4815,Male
Rupert Sanders,4816,Male
Matt Reeves,4818,Male
Mike Mitchell,4821,Male
Brad Bird,4822,Male
Chris Williams,4823,Male
Rich Moore,4824,Male
Chris Sanders,4825,Male
Jonathan Mostow,4826,Male
James Gunn,4827,Male
Hideaki Anno,4828,Male
David Fincher,4829,Male
Matthew Vaughn,4830,Male
Francis Lawrence,4831,Male
Jon Turteltaub,4832,Male
Wolfgang Petersen,4833,Male
Chris Miller,4835,Male
Duncan Jones,4836,Male
Alan Taylor,4837,Male
Michael Apted,4838,Male
Oliver Stone,4839,Male
Jan Pinkava,4840,Male
Eric Darnell,4841,Male
Shawn Levy,4842,Male
Gavin Hood,4843,Male
George Miller,4845,Male
Ron Howard,4846,Male
Kenneth Branagh,4847,Male
Joe Johnston,4851,Male
Steve Hickner,4852,Male
Jennifer Yuh Nelson,4853,Female
M. Night Shyamalan,4854,Male
Simon Wells,4855,Male
David Bowers,4856,Male
Joe Wright,4857,Male
Rob Minkoff,4858,Male
Lee Tamahori,4859,Male
Paul Feig,4860,Male
Peter Ramsey,4861,Male
Dean Parisot,4862,Male
Edward Zwick,4863,Male
Dean DeBlois,4864,Male
Alex Proyas,4865,Male
Richard Donner,4866,Male
